Temperature (K);Pressure (MPa);Density (kg/m3);Volume (m3/kg);Internal Energy (kJ/kg);Enthalpy (kJ/kg);Entropy (J/g*K);Cv (J/g*K);Cp (J/g*K);Sound Spd. (m/s);Joule-Thomson (K/MPa);Viscosity (Pa*s);Therm. Cond. (W/m*K);Phase
232.800000000;8.00000000000;1136.36666493;0.000879997654682;106.449170645;113.489151882;0.641501675612;0.960651797608;1.94279481570;906.030222474;-0.112999669325;0.000207487237833;0.163566081240;liquid
232.850000000;8.00000000000;1136.18346122;0.000880139549759;106.545178964;113.586295363;0.641918913797;0.960587325600;1.94294445263;905.691706815;-0.112783998854;0.000207324832672;0.163506991542;liquid
232.900000000;8.00000000000;1136.00020505;0.000880281531252;106.641194083;113.683446333;0.642336094563;0.960522896577;1.94309442789;905.353177720;-0.112568021658;0.000207162571122;0.163447906902;liquid
232.950000000;8.00000000000;1135.81689635;0.000880423599276;106.737216017;113.780604811;0.642753218007;0.960458510560;1.94324474192;905.014635078;-0.112351737242;0.000207000453015;0.163388827312;liquid
233.000000000;8.00000000000;1135.63353505;0.000880565753947;106.833244781;113.877770813;0.643170284225;0.960394167572;1.94339539518;904.676078776;-0.112135145110;0.000206838478185;0.163329752764;liquid
233.050000000;8.00000000000;1135.45012109;0.000880707995379;106.929280393;113.974944356;0.643587293316;0.960329867635;1.94354638811;904.337508704;-0.111918244768;0.000206676646465;0.163270683249;liquid
233.100000000;8.00000000000;1135.26665440;0.000880850323689;107.025322868;114.072125457;0.644004245377;0.960265610773;1.94369772118;903.998924750;-0.111701035717;0.000206514957689;0.163211618759;liquid
233.150000000;8.00000000000;1135.08313490;0.000880992738993;107.121372222;114.169314134;0.644421140505;0.960201397007;1.94384939483;903.660326801;-0.111483517458;0.000206353411690;0.163152559286;liquid
233.200000000;8.00000000000;1134.89956253;0.000881135241408;107.217428471;114.266510403;0.644837978798;0.960137226360;1.94400140953;903.321714747;-0.111265689493;0.000206192008302;0.163093504821;liquid
233.250000000;8.00000000000;1134.71593721;0.000881277831050;107.313491632;114.363714281;0.645254760353;0.960073098855;1.94415376572;902.983088475;-0.111047551319;0.000206030747359;0.163034455356;liquid
233.300000000;8.00000000000;1134.53225888;0.000881420508035;107.409561721;114.460925785;0.645671485268;0.960009014514;1.94430646388;902.644447874;-0.110829102435;0.000205869628695;0.162975410883;liquid
233.350000000;8.00000000000;1134.34852746;0.000881563272481;107.505638753;114.558144933;0.646088153640;0.959944973359;1.94445950445;902.305792831;-0.110610342338;0.000205708652145;0.162916371394;liquid
233.400000000;8.00000000000;1134.16474289;0.000881706124505;107.601722745;114.655371741;0.646504765568;0.959880975414;1.94461288790;901.967123235;-0.110391270523;0.000205547817544;0.162857336880;liquid
233.450000000;8.00000000000;1133.98090509;0.000881849064224;107.697813713;114.752606227;0.646921321148;0.959817020701;1.94476661469;901.628438974;-0.110171886485;0.000205387124725;0.162798307333;liquid
233.500000000;8.00000000000;1133.79701399;0.000881992091756;107.793911674;114.849848408;0.647337820479;0.959753109243;1.94492068529;901.289739935;-0.109952189716;0.000205226573525;0.162739282745;liquid
233.550000000;8.00000000000;1133.61306953;0.000882135207220;107.890016644;114.947098301;0.647754263659;0.959689241063;1.94507510016;900.951026006;-0.109732179710;0.000205066163777;0.162680263107;liquid
233.600000000;8.00000000000;1133.42907163;0.000882278410732;107.986128638;115.044355924;0.648170650784;0.959625416183;1.94522985976;900.612297075;-0.109511855956;0.000204905895318;0.162621248411;liquid
233.650000000;8.00000000000;1133.24502023;0.000882421702413;108.082247674;115.141621293;0.648586981953;0.959561634626;1.94538496457;900.273553030;-0.109291217945;0.000204745767982;0.162562238649;liquid
233.700000000;8.00000000000;1133.06091524;0.000882565082379;108.178373767;115.238894426;0.649003257264;0.959497896415;1.94554041504;899.934793758;-0.109070265165;0.000204585781606;0.162503233812;liquid
233.750000000;8.00000000000;1132.87675660;0.000882708550751;108.274506934;115.336175340;0.649419476815;0.959434201574;1.94569621166;899.596019148;-0.108848997103;0.000204425936025;0.162444233892;liquid
233.800000000;8.00000000000;1132.69254424;0.000882852107647;108.370647192;115.433464053;0.649835640703;0.959370550124;1.94585235489;899.257229086;-0.108627413246;0.000204266231074;0.162385238882;liquid
233.850000000;8.00000000000;1132.50827809;0.000882995753186;108.466794556;115.530760582;0.650251749026;0.959306942089;1.94600884520;898.918423459;-0.108405513078;0.000204106666591;0.162326248772;liquid
233.900000000;8.00000000000;1132.32395807;0.000883139487488;108.562949044;115.628064943;0.650667801884;0.959243377493;1.94616568306;898.579602156;-0.108183296084;0.000203947242412;0.162267263554;liquid
233.950000000;8.00000000000;1132.13958411;0.000883283310673;108.659110670;115.725377156;0.651083799372;0.959179856357;1.94632286896;898.240765064;-0.107960761744;0.000203787958372;0.162208283220;liquid
234.000000000;8.00000000000;1131.95515615;0.000883427222861;108.755279453;115.822697236;0.651499741591;0.959116378705;1.94648040337;897.901912069;-0.107737909542;0.000203628814309;0.162149307761;liquid
234.050000000;8.00000000000;1131.77067410;0.000883571224172;108.851455409;115.920025202;0.651915628637;0.959052944561;1.94663828675;897.563043060;-0.107514738957;0.000203469810059;0.162090337170;liquid
234.100000000;8.00000000000;1131.58613791;0.000883715314726;108.947638553;116.017361071;0.652331460610;0.958989553947;1.94679651960;897.224157922;-0.107291249468;0.000203310945459;0.162031371437;liquid
234.150000000;8.00000000000;1131.40154748;0.000883859494645;109.043828903;116.114704860;0.652747237606;0.958926206887;1.94695510240;896.885256544;-0.107067440552;0.000203152220347;0.161972410556;liquid
234.200000000;8.00000000000;1131.21690276;0.000884003764049;109.140026474;116.212056587;0.653162959725;0.958862903403;1.94711403561;896.546338812;-0.106843311686;0.000202993634560;0.161913454516;liquid
234.250000000;8.00000000000;1131.03220368;0.000884148123060;109.236231285;116.309416269;0.653578627065;0.958799643520;1.94727331973;896.207404612;-0.106618862345;0.000202835187935;0.161854503310;liquid
234.300000000;8.00000000000;1130.84745014;0.000884292571798;109.332443350;116.406783925;0.653994239724;0.958736427260;1.94743295524;895.868453832;-0.106394092004;0.000202676880310;0.161795556930;liquid
234.350000000;8.00000000000;1130.66264210;0.000884437110386;109.428662687;116.504159571;0.654409797800;0.958673254648;1.94759294262;895.529486359;-0.106169000134;0.000202518711523;0.161736615367;liquid
234.400000000;8.00000000000;1130.47777947;0.000884581738946;109.524889313;116.601543225;0.654825301392;0.958610125705;1.94775328235;895.190502079;-0.105943586207;0.000202360681412;0.161677678613;liquid
234.450000000;8.00000000000;1130.29286217;0.000884726457599;109.621123244;116.698934905;0.655240750598;0.958547040457;1.94791397494;894.851500879;-0.105717849694;0.000202202789814;0.161618746659;liquid
234.500000000;8.00000000000;1130.10789015;0.000884871266468;109.717364496;116.796334628;0.655656145517;0.958483998925;1.94807502086;894.512482645;-0.105491790064;0.000202045036569;0.161559819497;liquid
234.550000000;8.00000000000;1129.92286331;0.000885016165676;109.813613087;116.893742413;0.656071486248;0.958421001135;1.94823642060;894.173447263;-0.105265406783;0.000201887421515;0.161500897120;liquid
234.600000000;8.00000000000;1129.73778160;0.000885161155346;109.909869033;116.991158276;0.656486772888;0.958358047109;1.94839817466;893.834394621;-0.105038699319;0.000201729944490;0.161441979517;liquid
234.650000000;8.00000000000;1129.55264494;0.000885306235600;110.006132351;117.088582236;0.656902005537;0.958295136871;1.94856028353;893.495324603;-0.104811667138;0.000201572605333;0.161383066682;liquid
234.700000000;8.00000000000;1129.36745324;0.000885451406563;110.102403058;117.186014310;0.657317184293;0.958232270444;1.94872274769;893.156237097;-0.104584309702;0.000201415403884;0.161324158605;liquid
234.750000000;8.00000000000;1129.18220645;0.000885596668357;110.198681170;117.283454517;0.657732309254;0.958169447853;1.94888556766;892.817131989;-0.104356626474;0.000201258339981;0.161265255279;liquid
234.800000000;8.00000000000;1128.99690448;0.000885742021107;110.294966704;117.380902873;0.658147380520;0.958106669121;1.94904874392;892.478009164;-0.104128616917;0.000201101413464;0.161206356694;liquid
234.850000000;8.00000000000;1128.81154727;0.000885887464936;110.391259678;117.478359397;0.658562398190;0.958043934272;1.94921227697;892.138868509;-0.103900280489;0.000200944624172;0.161147462843;liquid
234.900000000;8.00000000000;1128.62613473;0.000886032999970;110.487560107;117.575824107;0.658977362362;0.957981243330;1.94937616731;891.799709909;-0.103671616650;0.000200787971945;0.161088573717;liquid
234.950000000;8.00000000000;1128.44066680;0.000886178626332;110.583868009;117.673297020;0.659392273135;0.957918596319;1.94954041544;891.460533250;-0.103442624858;0.000200631456623;0.161029689308;liquid
235.000000000;8.00000000000;1128.25514339;0.000886324344148;110.680183401;117.770778154;0.659807130607;0.957855993262;1.94970502186;891.121338418;-0.103213304569;0.000200475078046;0.160970809608;liquid
235.050000000;8.00000000000;1128.06956444;0.000886470153542;110.776506300;117.868267528;0.660221934879;0.957793434184;1.94986998708;890.782125298;-0.102983655237;0.000200318836054;0.160911934607;liquid
235.100000000;8.00000000000;1127.88392988;0.000886616054641;110.872836722;117.965765159;0.660636686049;0.957730919109;1.95003531159;890.442893776;-0.102753676316;0.000200162730487;0.160853064298;liquid
235.150000000;8.00000000000;1127.69823961;0.000886762047569;110.969174685;118.063271065;0.661051384215;0.957668448060;1.95020099592;890.103643737;-0.102523367260;0.000200006761186;0.160794198672;liquid
235.200000000;8.00000000000;1127.51249358;0.000886908132452;111.065520205;118.160785265;0.661466029478;0.957606021062;1.95036704055;889.764375066;-0.102292727518;0.000199850927992;0.160735337721;liquid
